Category,Partner Website/Brand,Coupon Amount,Rewards Percentage,Discount,Offer Summary,Terms and Condition,Offers Name,How to Use,Special Award,Festival Name,Tag,Offer Summary Cleaned,Offer Summary Normalized,Context Info,Personalized Offer,Formatted Email,Formatted Tweet,Formatted Blog,Formatted Push,Validated Offer
Electronics,Amazon,2000,10,200 Off,Limited time offer - grab now!,Cannot be clubbed with other offers.,Flash Sale Special,Apply coupon at checkout.,No,,shopping,limited time offer grab,limited time offer grab from Amazon,"{'entities': {'Amazon': 'ORG'}, 'sentiment': -0.07142857142857142, 'keywords': ['limited', 'time', 'offer', 'grab', 'Amazon']}",Exclusive Electronics offer from Amazon! limited time offer grab from Amazon ,"Dear Valued Customer,

Exclusive Electronics offer from Amazon! limited time offer grab from Amazon 

Best Regards,
Your Bank",Exclusive Electronics offer from Amazon! limited time offer grab from Amazon  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Electronics offer from Amazon! limited time offer grab from Amazon </h2><p>Read more on our website...</p>,Exclusive Electronics offer from Amazon! limited t,Exclusive Electronics offer from Amazon! limited time offer grab from Amazon 
Electronics,Reliance Digital,1000,40,Buy 1 Get 1 Free,Get exciting discounts on your favorite brands.,Terms and conditions apply as per the brand.,Super Saver Deal,Discount auto-applied on cart.,No,,redemption,get exciting discounts favorite brands,get exciting discount favorite bands from Reliance Digital,"{'entities': {'Reliance Digital': 'ORG'}, 'sentiment': 0.26666666666666666, 'keywords': ['get', 'exciting', 'discount', 'favorite', 'bands', 'Reliance', 'Digital']}",Exclusive Electronics offer from Reliance Digital! get exciting discount favorite bands from Reliance Digital ,"Dear Valued Customer,

Exclusive Electronics offer from Reliance Digital! get exciting discount favorite bands from Reliance Digital 

Best Regards,
Your Bank",Exclusive Electronics offer from Reliance Digital! get exciting discount favorite bands from Reliance Digital  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Electronics offer from Reliance Digital! get exciting discount favorite bands from Reliance Digital </h2><p>Read more on our website...</p>,Exclusive Electronics offer from Reliance Digital!,Exclusive Electronics offer from Reliance Digital! get exciting discount favorite bands from Reliance Digital 
Home Needs,BigBasket,1000,15,200 Off,Special Holi Offer: Limited time offer - grab now!,Valid for online purchase only.,Reward Booster,Redeem via mobile app.,Yes,Holi,billing,special holi offer limited time offer grab,special hold offer limited time offer grab from BigBasket,"{'entities': {'BigBasket': 'ORG'}, 'sentiment': 0.14285714285714285, 'keywords': ['special', 'hold', 'offer', 'limited', 'time', 'offer', 'grab', 'BigBasket']}",Exclusive Home Needs offer from BigBasket! special hold offer limited time offer grab from BigBasket ,"Dear Valued Customer,

Exclusive Home Needs offer from BigBasket! special hold offer limited time offer grab from BigBasket 

Best Regards,
Your Bank",Exclusive Home Needs offer from BigBasket! special hold offer limited time offer grab from BigBasket  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Home Needs offer from BigBasket! special hold offer limited time offer grab from BigBasket </h2><p>Read more on our website...</p>,Exclusive Home Needs offer from BigBasket! special,Exclusive Some Needs offer from BigBasket! special hold offer limited time offer grab from BigBasket 
Wellness,1mg,1500,20,200 Off,Exclusive cashback on selected brands.,Terms and conditions apply as per the brand.,Mega Cashback Offer,Apply coupon at checkout.,No,,reward,exclusive cashback selected brands,exclusive cashback selected bands from 1mg,"{'entities': {'1': 'CARDINAL'}, 'sentiment': 0.0, 'keywords': ['exclusive', 'cashback', 'selected', 'bands', 'mg']}",Exclusive Wellness offer from 1mg! exclusive cashback selected bands from 1mg ,"Dear Valued Customer,

Exclusive Wellness offer from 1mg! exclusive cashback selected bands from 1mg 

Best Regards,
Your Bank",Exclusive Wellness offer from 1mg! exclusive cashback selected bands from 1mg  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Wellness offer from 1mg! exclusive cashback selected bands from 1mg </h2><p>Read more on our website...</p>,Exclusive Wellness offer from 1mg! exclusive cashb,Exclusive Illness offer from my! exclusive cashback selected bands from my 
Electronics,Reliance Digital,1500,30,10% Off,Special Diwali Offer: Special discounts for loyal customers.,Terms and conditions apply as per the brand.,Reward Booster,Apply coupon at checkout.,Yes,Diwali,redemption,special diwali offer special discounts loyal customers,special dial offer special discount loyal customers from Reliance Digital,"{'entities': {'Reliance Digital': 'ORG'}, 'sentiment': 0.2619047619047619, 'keywords': ['special', 'dial', 'offer', 'special', 'discount', 'loyal', 'customers', 'Reliance', 'Digital']}",Exclusive Electronics offer from Reliance Digital! special dial offer special discount loyal customers from Reliance Digital ,"Dear Valued Customer,

Exclusive Electronics offer from Reliance Digital! special dial offer special discount loyal customers from Reliance Digital 

Best Regards,
Your Bank",Exclusive Electronics offer from Reliance Digital! special dial offer special discount loyal customers from Reliance Digital  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Electronics offer from Reliance Digital! special dial offer special discount loyal customers from Reliance Digital </h2><p>Read more on our website...</p>,Exclusive Electronics offer from Reliance Digital!,Exclusive Electronics offer from Reliance Digital! special dial offer special discount loyal customers from Reliance Digital 
Electronics,Flipkart,1000,5,20% Off,Special Diwali Offer: Special discounts for loyal customers.,Applicable only on select products.,Super Saver Deal,Use code at partner website.,Yes,Diwali,shopping,special diwali offer special discounts loyal customers,special dial offer special discount loyal customers from Flipkart,"{'entities': {'Flipkart': 'ORG'}, 'sentiment': 0.34920634920634924, 'keywords': ['special', 'dial', 'offer', 'special', 'discount', 'loyal', 'customers', 'Flipkart']}",Exclusive Electronics offer from Flipkart! special dial offer special discount loyal customers from Flipkart ,"Dear Valued Customer,

Exclusive Electronics offer from Flipkart! special dial offer special discount loyal customers from Flipkart 

Best Regards,
Your Bank",Exclusive Electronics offer from Flipkart! special dial offer special discount loyal customers from Flipkart  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Electronics offer from Flipkart! special dial offer special discount loyal customers from Flipkart </h2><p>Read more on our website...</p>,Exclusive Electronics offer from Flipkart! special,Exclusive Electronics offer from Flipkart! special dial offer special discount loyal customers from Flipkart 
Home Needs,Flipkart,100,35,Buy 1 Get 1 Free,Special Valentine's Offer: Exclusive cashback on selected brands.,Applicable only on select products.,Festive Bonanza,Apply coupon at checkout.,Yes,Valentine's,shopping,special valentine offer exclusive cashback selected brands,special valentine offer exclusive cashback selected bands from Flipkart,"{'entities': {'Flipkart': 'ORG'}, 'sentiment': 0.35714285714285715, 'keywords': ['special', 'valentine', 'offer', 'exclusive', 'cashback', 'selected', 'bands', 'Flipkart']}",Exclusive Home Needs offer from Flipkart! special valentine offer exclusive cashback selected bands from Flipkart ,"Dear Valued Customer,

Exclusive Home Needs offer from Flipkart! special valentine offer exclusive cashback selected bands from Flipkart 

Best Regards,
Your Bank",Exclusive Home Needs offer from Flipkart! special valentine offer exclusive cashback selected bands from Flipkart  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Home Needs offer from Flipkart! special valentine offer exclusive cashback selected bands from Flipkart </h2><p>Read more on our website...</p>,Exclusive Home Needs offer from Flipkart! special ,Exclusive Some Needs offer from Flipkart! special valentine offer exclusive cashback selected bands from Flipkart 
Dining,McDonald's,2000,25,500 Off,Special discounts for loyal customers.,Offer valid till stock lasts.,Flash Sale Special,Discount auto-applied on cart.,No,,reward,special discounts loyal customers,special discount loyal customers from McDonald's,"{'entities': {""McDonald's"": 'ORG'}, 'sentiment': 0.34523809523809523, 'keywords': ['special', 'discount', 'loyal', 'customers', 'McDonald']}",Exclusive Dining offer from McDonald's! special discount loyal customers from McDonald's Taste the best with premium dining discounts.,"Dear Valued Customer,

Exclusive Dining offer from McDonald's! special discount loyal customers from McDonald's Taste the best with premium dining discounts.

Best Regards,
Your Bank",Exclusive Dining offer from McDonald's! special discount loyal customers from McDonald's Taste the best with premium dining discounts. #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Dining offer from McDonald's! special discount loyal customers from McDonald's Taste the best with premium dining discounts.</h2><p>Read more on our website...</p>,Exclusive Dining offer from McDonald's! special di,Exclusive Dining offer from McDonald's! special discount loyal customers from McDonald's Haste the best with premium dining discount.
Wellness,PharmEasy,2000,40,20% Off,Special Eid Offer: Exclusive cashback on selected brands.,Cannot be clubbed with other offers.,Mega Cashback Offer,Redeem via mobile app.,Yes,Eid,reward,special eid offer exclusive cashback selected brands,special did offer exclusive cashback selected bands from PharmEasy,"{'entities': {'PharmEasy': 'GPE'}, 'sentiment': 0.35714285714285715, 'keywords': ['special', 'offer', 'exclusive', 'cashback', 'selected', 'bands', 'PharmEasy']}",Exclusive Wellness offer from PharmEasy! special did offer exclusive cashback selected bands from PharmEasy ,"Dear Valued Customer,

Exclusive Wellness offer from PharmEasy! special did offer exclusive cashback selected bands from PharmEasy 

Best Regards,
Your Bank",Exclusive Wellness offer from PharmEasy! special did offer exclusive cashback selected bands from PharmEasy  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Wellness offer from PharmEasy! special did offer exclusive cashback selected bands from PharmEasy </h2><p>Read more on our website...</p>,Exclusive Wellness offer from PharmEasy! special d,Exclusive Illness offer from PharmEasy! special did offer exclusive cashback selected bands from PharmEasy 
Electronics,Reliance Digital,2500,10,Buy 1 Get 1 Free,Exclusive cashback on selected brands.,Valid for online purchase only.,Festive Bonanza,Use code at partner website.,No,,shopping,exclusive cashback selected brands,exclusive cashback selected bands from Reliance Digital,"{'entities': {'Reliance Digital': 'ORG'}, 'sentiment': 0.0, 'keywords': ['exclusive', 'cashback', 'selected', 'bands', 'Reliance', 'Digital']}",Exclusive Electronics offer from Reliance Digital! exclusive cashback selected bands from Reliance Digital ,"Dear Valued Customer,

Exclusive Electronics offer from Reliance Digital! exclusive cashback selected bands from Reliance Digital 

Best Regards,
Your Bank",Exclusive Electronics offer from Reliance Digital! exclusive cashback selected bands from Reliance Digital  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Electronics offer from Reliance Digital! exclusive cashback selected bands from Reliance Digital </h2><p>Read more on our website...</p>,Exclusive Electronics offer from Reliance Digital!,Exclusive Electronics offer from Reliance Digital! exclusive cashback selected bands from Reliance Digital 
Wellness,1mg,2000,40,15% Off,Limited time offer - grab now!,Valid for online purchase only.,Reward Booster,Discount auto-applied on cart.,No,,bonus,limited time offer grab,limited time offer grab from 1mg,"{'entities': {'1': 'CARDINAL'}, 'sentiment': -0.07142857142857142, 'keywords': ['limited', 'time', 'offer', 'grab', 'mg']}",Exclusive Wellness offer from 1mg! limited time offer grab from 1mg ,"Dear Valued Customer,

Exclusive Wellness offer from 1mg! limited time offer grab from 1mg 

Best Regards,
Your Bank",Exclusive Wellness offer from 1mg! limited time offer grab from 1mg  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Wellness offer from 1mg! limited time offer grab from 1mg </h2><p>Read more on our website...</p>,Exclusive Wellness offer from 1mg! limited time of,Exclusive Illness offer from my! limited time offer grab from my 
Dining,KFC,100,40,10% Off,Special discounts for loyal customers.,Cannot be clubbed with other offers.,Reward Booster,Discount auto-applied on cart.,No,,reward,special discounts loyal customers,special discount loyal customers from KFC,"{'entities': {'KFC': 'ORG'}, 'sentiment': 0.34523809523809523, 'keywords': ['special', 'discount', 'loyal', 'customers', 'KFC']}",Exclusive Dining offer from KFC! special discount loyal customers from KFC Taste the best with premium dining discounts.,"Dear Valued Customer,

Exclusive Dining offer from KFC! special discount loyal customers from KFC Taste the best with premium dining discounts.

Best Regards,
Your Bank",Exclusive Dining offer from KFC! special discount loyal customers from KFC Taste the best with premium dining discounts. #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Dining offer from KFC! special discount loyal customers from KFC Taste the best with premium dining discounts.</h2><p>Read more on our website...</p>,Exclusive Dining offer from KFC! special discount ,Exclusive Dining offer from KFC! special discount loyal customers from KFC Haste the best with premium dining discount.
Wellness,CureFit,1500,35,15% Off,Limited time offer - grab now!,Offer valid till stock lasts.,Mega Cashback Offer,Discount auto-applied on cart.,No,,reward,limited time offer grab,limited time offer grab from CureFit,"{'entities': {'CureFit': 'GPE'}, 'sentiment': -0.07142857142857142, 'keywords': ['limited', 'time', 'offer', 'grab', 'CureFit']}",Exclusive Wellness offer from CureFit! limited time offer grab from CureFit ,"Dear Valued Customer,

Exclusive Wellness offer from CureFit! limited time offer grab from CureFit 

Best Regards,
Your Bank",Exclusive Wellness offer from CureFit! limited time offer grab from CureFit  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Wellness offer from CureFit! limited time offer grab from CureFit </h2><p>Read more on our website...</p>,Exclusive Wellness offer from CureFit! limited tim,Exclusive Illness offer from CureFit! limited time offer grab from CureFit 
Electronics,Reliance Digital,2000,20,Buy 1 Get 1 Free,Earn reward points with every purchase.,Applicable only on select products.,Super Saver Deal,Show QR code at store.,No,,redemption,earn reward points every purchase,earn reward points every purchase from Reliance Digital,"{'entities': {'Reliance Digital': 'ORG'}, 'sentiment': 0.0, 'keywords': ['earn', 'reward', 'points', 'every', 'purchase', 'Reliance', 'Digital']}",Exclusive Electronics offer from Reliance Digital! earn reward points every purchase from Reliance Digital ,"Dear Valued Customer,

Exclusive Electronics offer from Reliance Digital! earn reward points every purchase from Reliance Digital 

Best Regards,
Your Bank",Exclusive Electronics offer from Reliance Digital! earn reward points every purchase from Reliance Digital  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Electronics offer from Reliance Digital! earn reward points every purchase from Reliance Digital </h2><p>Read more on our website...</p>,Exclusive Electronics offer from Reliance Digital!,Exclusive Electronics offer from Reliance Digital! earn reward points every purchase from Reliance Digital 
Dining,Swiggy,500,10,20% Off,Limited time offer - grab now!,Offer valid till stock lasts.,Reward Booster,Apply coupon at checkout.,No,,spend,limited time offer grab,limited time offer grab from Swiggy,"{'entities': {'Swiggy': 'ORG'}, 'sentiment': -0.07142857142857142, 'keywords': ['limited', 'time', 'offer', 'grab', 'Swiggy']}",Exclusive Dining offer from Swiggy! limited time offer grab from Swiggy Taste the best with premium dining discounts.,"Dear Valued Customer,

Exclusive Dining offer from Swiggy! limited time offer grab from Swiggy Taste the best with premium dining discounts.

Best Regards,
Your Bank",Exclusive Dining offer from Swiggy! limited time offer grab from Swiggy Taste the best with premium dining discounts. #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Dining offer from Swiggy! limited time offer grab from Swiggy Taste the best with premium dining discounts.</h2><p>Read more on our website...</p>,Exclusive Dining offer from Swiggy! limited time o,Exclusive Dining offer from Swiggy! limited time offer grab from Swiggy Haste the best with premium dining discount.
Electronics,Vijay Sales,200,10,100 Off,Special Eid Offer: Special discounts for loyal customers.,Offer valid till stock lasts.,Super Saver Deal,Use code at partner website.,Yes,Eid,redemption,special eid offer special discounts loyal customers,special did offer special discount loyal customers from Vijay Sales,"{'entities': {'Vijay': 'ORG'}, 'sentiment': 0.34920634920634924, 'keywords': ['special', 'offer', 'special', 'discount', 'loyal', 'customers', 'Vijay', 'Sales']}",Exclusive Electronics offer from Vijay Sales! special did offer special discount loyal customers from Vijay Sales ,"Dear Valued Customer,

Exclusive Electronics offer from Vijay Sales! special did offer special discount loyal customers from Vijay Sales 

Best Regards,
Your Bank",Exclusive Electronics offer from Vijay Sales! special did offer special discount loyal customers from Vijay Sales  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Electronics offer from Vijay Sales! special did offer special discount loyal customers from Vijay Sales </h2><p>Read more on our website...</p>,Exclusive Electronics offer from Vijay Sales! spec,Exclusive Electronics offer from Jay Tales! special did offer special discount loyal customers from Jay Tales 
Dining,Zomato,500,10,10% Off,Earn reward points with every purchase.,Applicable only on select products.,Flash Sale Special,Use code at partner website.,No,,spend,earn reward points every purchase,earn reward points every purchase from Zomato,"{'entities': {'Zomato': 'PERSON'}, 'sentiment': 0.0, 'keywords': ['earn', 'reward', 'points', 'every', 'purchase', 'Zomato']}",Exclusive Dining offer from Zomato! earn reward points every purchase from Zomato Taste the best with premium dining discounts.,"Dear Valued Customer,

Exclusive Dining offer from Zomato! earn reward points every purchase from Zomato Taste the best with premium dining discounts.

Best Regards,
Your Bank",Exclusive Dining offer from Zomato! earn reward points every purchase from Zomato Taste the best with premium dining discounts. #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Dining offer from Zomato! earn reward points every purchase from Zomato Taste the best with premium dining discounts.</h2><p>Read more on our website...</p>,Exclusive Dining offer from Zomato! earn reward po,Exclusive Dining offer from Tomato! earn reward points every purchase from Tomato Haste the best with premium dining discount.
Dining,Zomato,5000,40,100 Off,Special Eid Offer: Get exciting discounts on your favorite brands.,Applicable only on select products.,Festive Bonanza,Use code at partner website.,Yes,Eid,reward,special eid offer get exciting discounts favorite brands,special did offer get exciting discount favorite bands from Zomato,"{'entities': {'Zomato': 'PERSON'}, 'sentiment': 0.3857142857142857, 'keywords': ['special', 'offer', 'get', 'exciting', 'discount', 'favorite', 'bands', 'Zomato']}",Exclusive Dining offer from Zomato! special did offer get exciting discount favorite bands from Zomato Taste the best with premium dining discounts.,"Dear Valued Customer,

Exclusive Dining offer from Zomato! special did offer get exciting discount favorite bands from Zomato Taste the best with premium dining discounts.

Best Regards,
Your Bank",Exclusive Dining offer from Zomato! special did offer get exciting discount favorite bands from Zomato Taste the best with premium dining discounts. #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Dining offer from Zomato! special did offer get exciting discount favorite bands from Zomato Taste the best with premium dining discounts.</h2><p>Read more on our website...</p>,Exclusive Dining offer from Zomato! special did of,Exclusive Dining offer from Tomato! special did offer get exciting discount favorite bands from Tomato Haste the best with premium dining discount.
Electronics,Vijay Sales,2500,40,200 Off,Special Valentine's Offer: Get exciting discounts on your favorite brands.,Offer valid till stock lasts.,Mega Cashback Offer,Redeem via mobile app.,Yes,Valentine's,shopping,special valentine offer get exciting discounts favorite brands,special valentine offer get exciting discount favorite bands from Vijay Sales,"{'entities': {'Vijay': 'ORG'}, 'sentiment': 0.3857142857142857, 'keywords': ['special', 'valentine', 'offer', 'get', 'exciting', 'discount', 'favorite', 'bands', 'Vijay', 'Sales']}",Exclusive Electronics offer from Vijay Sales! special valentine offer get exciting discount favorite bands from Vijay Sales ,"Dear Valued Customer,

Exclusive Electronics offer from Vijay Sales! special valentine offer get exciting discount favorite bands from Vijay Sales 

Best Regards,
Your Bank",Exclusive Electronics offer from Vijay Sales! special valentine offer get exciting discount favorite bands from Vijay Sales  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Electronics offer from Vijay Sales! special valentine offer get exciting discount favorite bands from Vijay Sales </h2><p>Read more on our website...</p>,Exclusive Electronics offer from Vijay Sales! spec,Exclusive Electronics offer from Jay Tales! special valentine offer get exciting discount favorite bands from Jay Tales 
Electronics,Flipkart,5000,20,10% Off,Special New Year Offer: Get exciting discounts on your favorite brands.,Valid for online purchase only.,Mega Cashback Offer,Show QR code at store.,Yes,New Year,redemption,special new year offer get exciting discounts favorite brands,special new year offer get exciting discount favorite bands from Flipkart,"{'entities': {'Flipkart': 'ORG'}, 'sentiment': 0.3233766233766234, 'keywords': ['special', 'new', 'year', 'offer', 'get', 'exciting', 'discount', 'favorite', 'bands', 'Flipkart']}",Exclusive Electronics offer from Flipkart! special new year offer get exciting discount favorite bands from Flipkart ,"Dear Valued Customer,

Exclusive Electronics offer from Flipkart! special new year offer get exciting discount favorite bands from Flipkart 

Best Regards,
Your Bank",Exclusive Electronics offer from Flipkart! special new year offer get exciting discount favorite bands from Flipkart  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Electronics offer from Flipkart! special new year offer get exciting discount favorite bands from Flipkart </h2><p>Read more on our website...</p>,Exclusive Electronics offer from Flipkart! special,Exclusive Electronics offer from Flipkart! special new year offer get exciting discount favorite bands from Flipkart 
Home Needs,BigBasket,2000,35,15% Off,Get exciting discounts on your favorite brands.,Terms and conditions apply as per the brand.,Reward Booster,Discount auto-applied on cart.,No,,payment,get exciting discounts favorite brands,get exciting discount favorite bands from BigBasket,"{'entities': {'BigBasket': 'ORG'}, 'sentiment': 0.4, 'keywords': ['get', 'exciting', 'discount', 'favorite', 'bands', 'BigBasket']}",Exclusive Home Needs offer from BigBasket! get exciting discount favorite bands from BigBasket ,"Dear Valued Customer,

Exclusive Home Needs offer from BigBasket! get exciting discount favorite bands from BigBasket 

Best Regards,
Your Bank",Exclusive Home Needs offer from BigBasket! get exciting discount favorite bands from BigBasket  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Home Needs offer from BigBasket! get exciting discount favorite bands from BigBasket </h2><p>Read more on our website...</p>,Exclusive Home Needs offer from BigBasket! get exc,Exclusive Some Needs offer from BigBasket! get exciting discount favorite bands from BigBasket 
Electronics,Amazon,1000,10,100 Off,Special Diwali Offer: Get exciting discounts on your favorite brands.,Offer valid till stock lasts.,Mega Cashback Offer,Discount auto-applied on cart.,Yes,Diwali,shopping,special diwali offer get exciting discounts favorite brands,special dial offer get exciting discount favorite bands from Amazon,"{'entities': {'Amazon': 'ORG'}, 'sentiment': 0.3857142857142857, 'keywords': ['special', 'dial', 'offer', 'get', 'exciting', 'discount', 'favorite', 'bands', 'Amazon']}",Exclusive Electronics offer from Amazon! special dial offer get exciting discount favorite bands from Amazon ,"Dear Valued Customer,

Exclusive Electronics offer from Amazon! special dial offer get exciting discount favorite bands from Amazon 

Best Regards,
Your Bank",Exclusive Electronics offer from Amazon! special dial offer get exciting discount favorite bands from Amazon  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Electronics offer from Amazon! special dial offer get exciting discount favorite bands from Amazon </h2><p>Read more on our website...</p>,Exclusive Electronics offer from Amazon! special d,Exclusive Electronics offer from Amazon! special dial offer get exciting discount favorite bands from Amazon 
Home Needs,Amazon,5000,40,100 Off,Special Christmas Offer: Get exciting discounts on your favorite brands.,Cannot be clubbed with other offers.,Reward Booster,Apply coupon at checkout.,Yes,Christmas,billing,special christmas offer get exciting discounts favorite brands,special christmas offer get exciting discount favorite bands from Amazon,"{'entities': {'Amazon': 'ORG'}, 'sentiment': 0.3857142857142857, 'keywords': ['special', 'christmas', 'offer', 'get', 'exciting', 'discount', 'favorite', 'bands', 'Amazon']}",Exclusive Home Needs offer from Amazon! special christmas offer get exciting discount favorite bands from Amazon ,"Dear Valued Customer,

Exclusive Home Needs offer from Amazon! special christmas offer get exciting discount favorite bands from Amazon 

Best Regards,
Your Bank",Exclusive Home Needs offer from Amazon! special christmas offer get exciting discount favorite bands from Amazon  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Home Needs offer from Amazon! special christmas offer get exciting discount favorite bands from Amazon </h2><p>Read more on our website...</p>,Exclusive Home Needs offer from Amazon! special ch,Exclusive Some Needs offer from Amazon! special christmas offer get exciting discount favorite bands from Amazon 
Home Needs,BigBasket,1000,20,10% Off,Special Christmas Offer: Exclusive cashback on selected brands.,Offer valid till stock lasts.,Reward Booster,Redeem via mobile app.,Yes,Christmas,billing,special christmas offer exclusive cashback selected brands,special christmas offer exclusive cashback selected bands from BigBasket,"{'entities': {'BigBasket': 'ORG'}, 'sentiment': 0.35714285714285715, 'keywords': ['special', 'christmas', 'offer', 'exclusive', 'cashback', 'selected', 'bands', 'BigBasket']}",Exclusive Home Needs offer from BigBasket! special christmas offer exclusive cashback selected bands from BigBasket ,"Dear Valued Customer,

Exclusive Home Needs offer from BigBasket! special christmas offer exclusive cashback selected bands from BigBasket 

Best Regards,
Your Bank",Exclusive Home Needs offer from BigBasket! special christmas offer exclusive cashback selected bands from BigBasket  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Home Needs offer from BigBasket! special christmas offer exclusive cashback selected bands from BigBasket </h2><p>Read more on our website...</p>,Exclusive Home Needs offer from BigBasket! special,Exclusive Some Needs offer from BigBasket! special christmas offer exclusive cashback selected bands from BigBasket 
Home Needs,IKEA,200,35,10% Off,Special Christmas Offer: Get exciting discounts on your favorite brands.,Applicable only on select products.,Reward Booster,Use code at partner website.,Yes,Christmas,billing,special christmas offer get exciting discounts favorite brands,special christmas offer get exciting discount favorite bands from IKEA,"{'entities': {'IKEA': 'ORG'}, 'sentiment': 0.3857142857142857, 'keywords': ['special', 'christmas', 'offer', 'get', 'exciting', 'discount', 'favorite', 'bands', 'IKEA']}",Exclusive Home Needs offer from IKEA! special christmas offer get exciting discount favorite bands from IKEA ,"Dear Valued Customer,

Exclusive Home Needs offer from IKEA! special christmas offer get exciting discount favorite bands from IKEA 

Best Regards,
Your Bank",Exclusive Home Needs offer from IKEA! special christmas offer get exciting discount favorite bands from IKEA  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Home Needs offer from IKEA! special christmas offer get exciting discount favorite bands from IKEA </h2><p>Read more on our website...</p>,Exclusive Home Needs offer from IKEA! special chri,Exclusive Some Needs offer from IKEA! special christmas offer get exciting discount favorite bands from IKEA 
Electronics,Flipkart,1000,25,20% Off,Special New Year Offer: Special discounts for loyal customers.,Valid for online purchase only.,Mega Cashback Offer,Use code at partner website.,Yes,New Year,shopping,special new year offer special discounts loyal customers,special new year offer special discount loyal customers from Flipkart,"{'entities': {'Flipkart': 'ORG'}, 'sentiment': 0.295995670995671, 'keywords': ['special', 'new', 'year', 'offer', 'special', 'discount', 'loyal', 'customers', 'Flipkart']}",Exclusive Electronics offer from Flipkart! special new year offer special discount loyal customers from Flipkart ,"Dear Valued Customer,

Exclusive Electronics offer from Flipkart! special new year offer special discount loyal customers from Flipkart 

Best Regards,
Your Bank",Exclusive Electronics offer from Flipkart! special new year offer special discount loyal customers from Flipkart  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Electronics offer from Flipkart! special new year offer special discount loyal customers from Flipkart </h2><p>Read more on our website...</p>,Exclusive Electronics offer from Flipkart! special,Exclusive Electronics offer from Flipkart! special new year offer special discount loyal customers from Flipkart 
Electronics,Croma,1000,20,10% Off,Get exciting discounts on your favorite brands.,Cannot be clubbed with other offers.,Mega Cashback Offer,Discount auto-applied on cart.,No,,shopping,get exciting discounts favorite brands,get exciting discount favorite bands from Croma,"{'entities': {'Croma': 'ORG'}, 'sentiment': 0.4, 'keywords': ['get', 'exciting', 'discount', 'favorite', 'bands', 'Croma']}",Exclusive Electronics offer from Croma! get exciting discount favorite bands from Croma ,"Dear Valued Customer,

Exclusive Electronics offer from Croma! get exciting discount favorite bands from Croma 

Best Regards,
Your Bank",Exclusive Electronics offer from Croma! get exciting discount favorite bands from Croma  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Electronics offer from Croma! get exciting discount favorite bands from Croma </h2><p>Read more on our website...</p>,Exclusive Electronics offer from Croma! get exciti,Exclusive Electronics offer from Aroma! get exciting discount favorite bands from Aroma 
Wellness,PharmEasy,1000,15,20% Off,Special Diwali Offer: Get exciting discounts on your favorite brands.,Cannot be clubbed with other offers.,Mega Cashback Offer,Discount auto-applied on cart.,Yes,Diwali,reward,special diwali offer get exciting discounts favorite brands,special dial offer get exciting discount favorite bands from PharmEasy,"{'entities': {'PharmEasy': 'GPE'}, 'sentiment': 0.3857142857142857, 'keywords': ['special', 'dial', 'offer', 'get', 'exciting', 'discount', 'favorite', 'bands', 'PharmEasy']}",Exclusive Wellness offer from PharmEasy! special dial offer get exciting discount favorite bands from PharmEasy ,"Dear Valued Customer,

Exclusive Wellness offer from PharmEasy! special dial offer get exciting discount favorite bands from PharmEasy 

Best Regards,
Your Bank",Exclusive Wellness offer from PharmEasy! special dial offer get exciting discount favorite bands from PharmEasy  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Wellness offer from PharmEasy! special dial offer get exciting discount favorite bands from PharmEasy </h2><p>Read more on our website...</p>,Exclusive Wellness offer from PharmEasy! special d,Exclusive Illness offer from PharmEasy! special dial offer get exciting discount favorite bands from PharmEasy 
